Ticker,Weight,Weight (%),Sector
HDFCBANK,0.06666666666666667,6.666666666666667,Banking
ICICIBANK,0.06666666666666667,6.666666666666667,Banking
SBIN,0.06666666666666667,6.666666666666667,Banking
KOTAKBANK,0.06666666666666667,6.666666666666667,Banking
AXISBANK,0.06666666666666667,6.666666666666667,Banking
TCS,0.06666666666666667,6.666666666666667,IT
INFY,0.06666666666666667,6.666666666666667,IT
WIPRO,0.06666666666666667,6.666666666666667,IT
HCLTECH,0.06666666666666667,6.666666666666667,IT
TECHM,0.06666666666666667,6.666666666666667,IT
SUNPHARMA,0.06666666666666667,6.666666666666667,Pharma
DRREDDY,0.06666666666666667,6.666666666666667,Pharma
CIPLA,0.06666666666666667,6.666666666666667,Pharma
DIVISLAB,0.06666666666666667,6.666666666666667,Pharma
APOLLOHOSP,0.06666666666666667,6.666666666666667,Pharma
